GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
waffle-tomcat9/waffle-jna,waffle.servlet.spi,NegotiateSecurityFilterProvider,12,247,4,20,4,60,6,15,2,7
waffle-tomcat9/waffle-jna,waffle.servlet.spi,BasicSecurityFilterProvider,13,84,2,2,3,20,3,8,1,8
waffle-tomcat9/waffle-jna,waffle.servlet.spi,SecurityFilterProviderCollection,81,197,3,19,15,41,3,19,1,10
waffle-tomcat9/waffle-jna,waffle.util.cache,Cache,7,20,1,1,4,3,1,1,0,1
waffle-tomcat9/waffle-jna,waffle.util.cache,CaffeineCacheSupplier,0,8,0,0,0,2,0,2,0,2
waffle-tomcat9/waffle-jna,waffle.util.cache,CaffeineCache,0,34,0,0,0,9,0,5,0,5
waffle-tomcat9/waffle-jna,waffle.servlet,WindowsPrincipal,31,189,6,10,10,43,8,18,2,14
waffle-tomcat9/waffle-jna,waffle.servlet,NegotiateRequestWrapper,0,21,0,0,0,7,0,5,0,5
waffle-tomcat9/waffle-jna,waffle.servlet,NegotiateSecurityFilter,195,618,32,61,50,161,27,42,2,16
waffle-tomcat9/waffle-jna,waffle.servlet,WaffleInfoServlet,72,134,5,5,15,37,5,5,1,4
waffle-tomcat9/waffle-jna,waffle.servlet,AutoDisposableWindowsPrincipal,18,0,2,0,8,0,5,0,4,0
waffle-tomcat9/waffle-jna,waffle.servlet,CorsAwareNegotiateSecurityFilter,38,33,3,1,16,11,4,3,2,3
waffle-tomcat9/waffle-jna,waffle.jaas,GroupPrincipal,80,44,11,3,18,13,8,6,2,5
waffle-tomcat9/waffle-jna,waffle.jaas,UserPrincipal,2,28,1,3,1,9,1,5,0,4
waffle-tomcat9/waffle-jna,waffle.jaas,WindowsLoginModule,10,458,5,38,3,105,5,33,0,14
waffle-tomcat9/waffle-jna,waffle.jaas,RolePrincipal,0,30,0,4,0,10,0,6,0,4
waffle-tomcat9/waffle-jna,waffle.util,WaffleInfo,239,304,20,7,55,77,15,8,2,7
waffle-tomcat9/waffle-jna,waffle.util,NtlmMessage,0,69,0,8,0,8,0,7,0,3
waffle-tomcat9/waffle-jna,waffle.util,CorsPreFlightCheck.new ArrayList() {...},0,15,0,0,0,5,0,1,0,1
waffle-tomcat9/waffle-jna,waffle.util,AuthorizationHeader,30,141,8,24,5,33,8,20,1,11
waffle-tomcat9/waffle-jna,waffle.util,NtlmServletRequest,0,31,0,4,0,3,0,4,0,2
waffle-tomcat9/waffle-jna,waffle.util,CorsPreFlightCheck,6,63,3,9,2,19,2,6,0,2
waffle-tomcat9/waffle-jna,waffle.util,SPNegoMessage,32,133,8,18,10,18,7,9,0,3
waffle-tomcat9/waffle-jna,waffle.windows.auth,WindowsAccount,8,44,2,2,3,13,3,6,1,6
waffle-tomcat9/waffle-jna,waffle.windows.auth,PrincipalFormat,0,44,0,0,0,5,0,1,0,1
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsComputerImpl,18,59,4,3,4,14,4,6,0,5
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsCredentialsHandleImpl,10,71,4,4,2,18,4,5,0,5
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsDomainImpl.TrustDirection,34,0,0,0,4,0,1,0,1,0
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsIdentityImpl,49,91,9,7,9,21,7,11,2,8
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsAuthProviderImpl.ContinueContext,0,9,0,0,0,4,0,1,0,1
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsAccountImpl,0,36,0,0,0,12,0,8,0,8
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsSecurityContextImpl,30,188,13,11,10,51,14,17,1,17
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsAuthProviderImpl,114,196,15,13,23,47,16,10,3,8
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsDomainImpl.TrustType,74,0,0,0,8,0,1,0,1,0
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsIdentityImpersonationContextImpl,17,0,2,0,6,0,3,0,2,0
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsDomainImpl,83,0,16,0,23,0,13,0,5,0
waffle-tomcat9/waffle-jna,waffle.windows.auth.impl,WindowsSecurityContextImpersonationContextImpl,10,20,2,2,2,8,2,2,0,2
